Time,T8,Twi,UCZ,NCZ,LCZ_0,LCZ_3,LCZ_5,Two_0,Two_3,Two_5,DT1_0,DT1_3,DT1_5,Qact_0,Qact_3,Qact_5,Pyranometer  Reading_April,Pyranometer  Reading_May,Pyranometer  Reading_June,Incident Energy        ( W ),?Solar Pond_0,?Solar Pond_3,,?Solar Pond_5,,DT2_0,DT2_3,DT2_5,Qmax_0,Qmax_3,Qmax_5,Effectiveness_0,Effectiveness_3,Effectiveness_5
08:30,30.0,29.0,29.0,31.0,33,33,33,30.0,30.4,30.6,1.0,1.4,1.6,31.40,43.96,50.24,390.00,420,,504,6.23,8.72,2.49,9.97,3.74,4.0,4.0,4.0,125.60,125.60,125.60,0.25,0.35,0.40
09:00,30.0,29.0,29.0,32.0,35,35,35,30.0,30.7,31.1,1.0,1.7,2.1,31.40,53.38,65.94,435.00,460,,552,5.69,9.67,3.98,11.95,6.26,6.0,6.0,6.0,188.40,188.40,188.40,0.17,0.28,0.35
09:30,31.0,29.0,29.0,33.0,37,37,37,30.3,31.0,31.5,1.3,2.0,2.5,40.82,62.80,78.50,540.00,500,,600,6.80,10.47,3.66,13.08,6.28,8.0,8.0,8.0,251.20,251.20,251.20,0.16,0.25,0.31
10:00,31.0,29.0,30.0,35.0,39,39,39,31.0,31.4,32.0,2.0,2.4,3.0,62.80,75.36,94.20,542.00,560,,672,9.35,11.21,1.87,14.02,4.67,10.0,10.0,10.0,314.00,314.00,314.00,0.20,0.24,0.30
10:30,32.0,30.0,30.0,36.0,41,41,41,32.0,32.8,33.5,2.0,2.8,3.5,62.80,87.92,109.90,598.00,640,,768,8.18,11.45,3.27,14.31,6.13,11.0,11.0,11.0,345.40,345.40,345.40,0.18,0.25,0.32
11:00,33.0,31.0,32.0,37.0,42,42,42,33.4,33.9,34.7,2.4,2.9,3.7,75.36,91.06,116.18,680.00,680,,816,9.24,11.16,1.92,14.24,5.00,11.0,11.0,11.0,345.40,345.40,345.40,0.22,0.26,0.34
11:30,34.0,32.0,33.0,36.0,44,44,44,34.5,35.0,36.0,2.5,3.0,4.0,78.50,94.20,125.60,715.00,800,,960,8.18,9.81,1.64,13.08,4.91,12.0,12.0,12.0,376.80,376.80,376.80,0.21,0.25,0.33
12:00,35.0,33.0,34.0,37.0,46,46,46,35.5,36.2,37.0,2.5,3.2,4.0,78.50,100.48,125.60,862.00,880,,1056,7.43,9.52,2.08,11.89,4.46,13.0,13.0,13.0,408.20,408.20,408.20,0.19,0.25,0.31
12:30,36.0,34.0,35.0,38.0,48,48,48,36.5,37.5,38.4,2.5,3.5,4.4,78.50,109.90,138.16,900.00,970,,1164,6.74,9.44,2.70,11.87,5.13,14.0,14.0,14.0,439.60,439.60,439.60,0.18,0.25,0.31
13:00,36.0,34.4,36.0,39.0,50,50,50,37.5,38.0,39.5,3.1,3.6,5.1,97.34,113.04,160.14,890.00,940,,1128,8.63,10.02,1.39,14.20,5.57,15.6,15.6,15.6,489.84,489.84,489.84,0.20,0.23,0.33
